Ingredients,Allergy name,Allergens
"milk and skim milk, cream, sugar syrup, corn syrup, strawberries, whey, buttermilk, cellulose gel, guar gum, cellulose gum, modified corn starch, citric acid, mono- and diglycerides, locust bean gum, polysorbate 80, carrageenan, natural flavor, red 3, blue 1, yellow 6.","cocoa allergy, corn allergy, milk allergy, strawberry allergy, whey allergy","buttermilk, corn syrup, cream, milk, skim milk, strawberries, whey"
"milk, cream, sugar syrup, corn syrup, high fructose corn syrup, whey, skim milk, artificial and natural flavor, cellulose gel, guar gum, cellulose gum, cellulose gum, mono- and diglycerides, locust bean gum, polysorbate 80, carrageenan, annatto (for color).","corn allergy, milk allergy, whey allergy","corn syrup, cream, high fructose corn syrup, milk, skim milk, whey"
"water, sugar syrup, milk* and skim milk*, corn syrup, orange pulp, concentrated orange juice, high fructose corn syrup, natural flavors, citric acid, locust bean gum, mono- and diglycerides*, methyl cellulose, guar gum, polysorbate 80*, pectin, yellow 6.","corn allergy, milk allergy","corn syrup, milk, skim milk"
"water, sugar syrup, milk* and skim milk*, corn syrup, concentrated raspberry juice, concentrated lime juice, orange pulp, concentrated orange juice, high fructose corn syrup, raspberry puree, natural and artificial flavors, citric acid, locust bean gum, mono- and diglycerides*, methyl cellulose, guar gum, polysorbate 80*, pectin, malic acid, turmeric extract (for color), red 40, blue 1, yellow 5, yellow 6.","corn allergy, milk allergy","corn syrup, milk, skim milk"
"milk and skim milk, maltodextrin, cream, maltitol, cocoa processed with alkali, glycerol, polydextrose, propylene glycol monoesters, guar gum, mono- and diglycerides, cellulose gel, locust bean gum, cellulose gum, carrageenan, sucralose, enzymes, vitamin a palmitate.","cocoa allergy, milk allergy","cocoa processed with alkali, milk, skim milk"
"ice cream - milk, cream, sugars, corn syrup, cocoa processed with alkali, whey protein concentrate, propylene glycol monoesters, guar gum, cellulose gel, mono - and diglycerides, locust bean gum, cellulose gum, carrageenan. chocolate swirl - powdered sugar (sugar, cornstarch), vegetable oil (peanut and/or cottonseed and/or palm oil), cocoa (processed with alkali), whey, soy lecithin, salt, and natural flavor. peanut butter cookie dough - powdered sugar (sugar, corn starch), roasted peanuts, water, palm oil, corn starch, salt, molasses, soy lecithin.","cocoa allergy, milk allergy, peanut allergy, soy allergy, whey allergy","cocoa processed with alkali, cream, milk, peanuts, soy lecithin, whey protein concentrate"
"ice cream - milk, cream, sugar, corn syrup, whey protein concentrate, cocoa processed with alkali, propylene glycol monoesters, guar gum, cellulose gel, mono- and diglycerides, locust bean gum, cellulose gum, carrageenan. caramel variegate - corn syrup, water, sugar, sweetened condensed skim milk (condensed skim milk, sugar), modified corn starch, salt, carrageenan. chocolate truffles - sugar, coconut oil, hazelnuts, cocoa processed with alkali, corn syrup, nonfat milk, whole milk, peanut oil, sweetened condensed milk (milk, sugar), whey, heavy cream, butter (cream, salt) soy lecithin, salt, natural flavors.","cocoa allergy, milk allergy, peanut allergy, soy allergy, tree nut allergy (hazelnuts), whey allergy","cocoa processed with alkali, cream, hazelnuts, milk, peanut oil, soy lecithin, whey protein concentrate"
"ice cream - milk, cream, sugar, corn syrup, cocoa processed with alkali, whey protein concentrate, propylene glycol monoesters, guar gum, cellulose gel, mono-and diglycerides, locust bean gum, cellulose gum, carrageenan. chocolate swirl - powdered sugar (sugar, corn starch), peanut oil, cocoa processed with alkali, whwy, salt, soy lecithin.","cocoa allergy, milk allergy, peanut allergy, soy allergy, whey allergy","cocoa processed with alkali, cream, milk, peanut oil, soy lecithin, whey protein concentrate"
"ice cream - milk, cream, sugar, corn syrup, raspberry puree, raspberry juice concentrate, whey protein concentrate, propylene glycol monoesters, guar gum, cellulose gel, mono- and diglycerides, locust bean gum, cellulose gum, red 40, blue 1, natural flavor, citric acid, carrageenan. chocolate chunk - sugar, soybean oil, coconut oil, cocoa processed with alkali, cocoa, natural flavor, soy lecithin.","cocoa allergy, coconut allergy, milk allergy, soy allergy, whey allergy","cocoa processed with alkali, coconut oil, cream, milk, soy lecithin, soybean oil, whey protein concentrate"
"ice cream - milk, cream, sugar, corn syrup, whey protein concentrate, butter (cream, salt), molasses, natural flavor, propylene glycol monoesters, guar gum, cellulose gel, mono- and diglycerides, locust bean gum, cellulose gum, carrageenan, salt, soy lecithin, citric acid, annatto (for color). pecans - pecans, cottonseed oil, butter (cream, salt), salt.","butter allergy, cottonseed allergy, milk allergy, pecan allergy, soy allergy, whey allergy","butter (cream, cottonseed oil, cream, milk, pecans, salt), soy lecithin, whey protein concentrate"
"milk, cream, sugar, corn syrup, whey protein concentrate, natural and artificial flavors, propylene glycol monoesters, guar gum, cellulose gel, mono- and diglycerides, locust bean gum, cellulose gum, carrageenan, annatto (for color).","milk allergy, whey allergy","cream, milk, whey protein concentrate"
"ice cream - milk, cream, sugar, corn syrup, cocoa processed with alkali, whey protein concentrate, propylene glycol monoesters, guar gum, cellulose gel, mono- and diglycerides, locust bean gum, cellulose gum, carrageenan. chocolate swirl - powdered sugar (sugar, corn starch), vegetable oil (peanut and/or cottonseed palm oil), cocoa processed with alkali, whey, soy lecithin, salt, natural flavor, fudge cups - sugar, coconut oil, cocoa processed with alkali, peanut oil, nonfat milk, whole milk, whey, salt, soy lecithin, natural flavors","cocoa allergy, milk allergy, peanut allergy, soy allergy, whey allergy","cocoa processed with alkali, corn syrup, cream, milk, nonfat milk, peanut oil, soy lecithin, whey, whey protein concentrate, whole milk"
"ice cream-milk, cream, sugar, corn syrup, cocoa processed with alkali, buttermilk, whey, guar gum, cellulose gel, cellulose gum, mono- and diglycerides, locust bean gum, polysorbate 80, carrageenan, chocolate cookie crumb variegate - soybean oil, cookie crumb (enriched flour [wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid], sugar, palm and palm kernel oil, cocoa processed with alkali, high fructose corn syrup, corn flour, salt, dextrose, sodium bicarbonate, soy lecithin) sugar, cocoa processed with alkali, salt, soy lecithin, and vanillin.","cocoa allergy, milk allergy, soy allergy, wheat allergy, whey allergy","buttermilk, cocoa processed with alkali, cream, milk, soy lecithin, wheat flour, whey"
"ice cream - milk and skim milk, cream, sweetened condensed skim milk, cocoa, sugar syrup, corn syrup, high fructose corn syrup, buttermilk, natural flavor, cellulose gel, guar gum, cellulose gum, mono- and diglycerides, locust bean gum, polysorbate 80, modified corn starch, caramel color, carrageenan, annatto (for colo), salt. brownie swirl - powdered sugar (sugar, cornstarch), peanut oil, cocoa processed with alkali, whey, salt, soy lecithin. brownies - sugar, palm oil, eggs, unenriched wheat flour, cocoa, corn syrup, water, salt, natural flavor.","cocoa allergy, corn allergy, egg allergy, milk allergy, peanut allergy, soy allergy, wheat allergy","buttermilk, cocoa, corn syrup, cream, eggs, high fructose corn syrup, milk, peanut oil, skim milk, soy lecithin, sweetened condensed skim milk, wheat flour., whey"
"chocolate ice cream - milk, cream, sugar, corn syrup, cocoa processed with alkali, buttermilk, whey, guar gum, cellulose gel, cellulose gum, mono- and diclycerides, locust bean gum, polysorbate 80, carrageenan. french vanilla ice cream - milk, cream, sugar, corn syrup, egg yolks, whey, natural and artificial flavor, cellulose gel, guar gum, cellulose gum, mono- and diglycerides, annatto extract (color), locust bean gum, polysorbate 80, carrageenan.","cocoa allergy, egg allergy., milk allergy, soy allergy","cocoa, egg yolks., milk, soy"
"milk, sugar, corn syrup, cream, buttermilk, high fructose corn syrup, blueberry, whey protein concentrate, lemon juice concentrate, natural and artificial flavor, propylene glycol monoesters, guar gum, mono-& diglycerides, cellulose gum, locust beans gum,","corn allergy, milk allergy, whey allergy","corn syrup, high fructose corn syrup, milk, whey protein concentrate"
"ice cream - milk, sugar syrup, corn syrup, cream, skim milk, buttermilk, high fructose corn syrup, cocoa processed with alkali, butter (cream, salt), whey protein concentrate, chocolate liquor, propylene glycol monoesters, guar gum, mono- & diglycerides, cellulose gel, locust bean gum, cellulose gum, whey, sodium citrate, carrageenan, natural flavors, disodium phosphate, soy lecithin, vitamin a palmitate, vanilla cream swirl - corn syrup, high fructose corn syrup, sweetened condensed skim milk (skim milk, sugar), butter (cream, salt), coconut oil, carrageenan, sugar, salt, titanium oxide, artificial flavor, fudge pieces - sugar, cocoa, soybean oil, coconut oil, natural flavor, soy lecithin.","butter allergy, corn allergy, milk allergy, soy allergy, whey allergy","butter, buttermilk, high fructose corn syrup, milk, skim milk, soy lecithin, whey, whey protein concentrate"
"water, sugar syrup, milk* and skim milk*, mango puree concentrate, corn syrup, high fructose corn syrup, locust bean gum, mono- and diglycerides*, methyl cellulose, guar gum, polysorbate 80*, pectin, natural flavor, citric acid, yellow 5, red 40.","corn allergy, milk allergy","corn syrup, high fructose corn syrup, milk, skim milk"
"frozen dairy dessert - milk, sugar cream, corn syrup peanuts, sugar, peanut oil, high fructose corn syrup, whey protein concentrate, whey brown sugar, water, butter (cream, salt), salt, partially hydrogenated palm oil, nonfat dry milk, maltodextrin, modified corn starch, cellulose gel, mono- and diglycerides, cellulose gum, carrageenan, modified corn starch, turmeric extract (color), caramel color, xanthan gum, citric acid, sodium bicarbonate, soy lecithin, yellow 6. nestle baby ruth pieces* - sugar, peanuts, corn syrup, partially hydrogenated palm kernel oil, coconut and soybean oils, milk cocoa, high fructose corn syrup, dextrose, nonfat milk, whey, glycerin, salt monoglycerides, soy lecithin, peanut oil, natural and artificial flavors, carrageenan, caramel color. caramel swirl - corn syrup, sugar, milk, coconut oil, modified corn starch, salt, mono- and diglycerides, natural flavor, soy lecithin, sodium citrate.","corn allergy, milk allergy, peanut allergy, soy allergy, whey allergy","corn syrup, high fructose corn syrup, milk, peanuts, soy lecithin, whey, whey protein concentrate"
beef and natural flavorings.,none,none
"milk, cream, sugar, corn syrup, high fructose corn syrup, whey, buttermilk, cellulose gel, guar gum, cellulose gum, mono & diglycerides, locust bean gum, polysorbate 80, carrageenan, artificial flavor, annatto (for color).","milk allergy, whey allergy","buttermilk, milk, whey"
"milk, cream, sugar, corn syrup, high fructose corn syrup, cocoa processed with alkali, whey, buttermilk, cellulose gel, guar gum,, cellulose gum, mono- and diglycerides, locust bean gum, polysorbate 80, carrageenan, peanuts, egg yolk, yellow 5and 6.","egg allergy, milk allergy, peanut allergy, whey allergy","buttermilk, egg yolk, milk, peanuts, whey"
"milk, cream, corn syrup, sugar, high fructose corn syrup, cherries, whey, buttermilk, natural and artificial flavors, modified starch (corn, tapioca), citric acid, cellulose gel, guar gum, cellulose gum, mono and diglycerides, locust bean gum, polysorbate","corn allergy, milk allergy, whey allergy","buttermilk, corn syrup, high fructose corn syrup, milk, modified starch (corn), whey"
"milk, cream, corn syrup, sugar, high fructose corn syrup, strawberries, cocoa processed with alkali, whey, buttermilk, cellulose gel, guar gum, cellulose gum, mono and diglycerides, natural and artificial flavors, citric acid, xanthan gum, locust bean gum","buttermilk allergy, corn allergy, milk allergy, whey allergy","buttermilk, corn syrup, high fructose corn syrup, milk, whey"
"ice cream - milk, cream, corn syrup, sugar, high fructose corn syrup, whey, buttermilk, natural and artificial flavors, cellulose gel, guar gum, cellulose gum, mono and diglycerides, locust bean gum, polysorbate 80, carrageenan, annatto, caramel color. ch","corn allergy, milk allergy, whey allergy","buttermilk, corn syrup, high fructose corn syrup, milk, whey"
